DB06603	D011289	DB00928
DB09074	D009422	DB11714
DB00544	D009369	DB06366
DB02546	D014570	DB09037
DB11581	D054437	DB08911
DB00019	D008206	DB01181
DB00302	D014949	DB08818
DB09539	D004066	DB01101
DB00530	D012871	DB00331
DB01181	D007938	DB11703
DB09312	D015477	DB00688
DB00864	D008228	DB02546
DB11771	D005770	DB11714
DB00073	D020522	DB00242
DB12205	D009369	DB12015
DB11595	D009369	DB05239
DB01601	D012327	DB00503
DB11730	D010051	DB00958
DB01073	D005767	DB00316
DB00773	D007154	DB09052
DB11759	D001855	DB00928
DB01248	D013899	DB04786
DB01234	D007154	DB09331
DB00322	D009371	DB00762
DB00588	D009668	DB00254
DB09138	D010335	DB00789
DB00313	D014570	DB01221
DB00531	D017599	DB01206
DB01234	D007160	DB05889
DB00864	D009369	DB01073
DB00515	D009371	DB00361
DB09035	D002280	DB14851
DB09053	D007154	DB12565
DB11815	D051437	DB00325
DB11853	D005834	DB05812
DB01175	D019967	DB01104
DB00073	D016393	DB11581
DB00959	D008223	DB00741
DB00007	D009369	DB12941
DB00098	D008228	DB00959
DB00531	D064726	DB15442
DB00515	D009503	DB11945
DB00531	D003108	DB00544
DB00007	D009371	DB01128
DB00515	D005705	DB00445
DB01248	D005706	DB00526
DB00706	D020763	DB08893
DB11800	D009370	DB09035
DB00297	D001941	DB00316
DB00631	D001855	DB00099
DB15310	D009370	DB08910
DB00987	D002869	DB08901
DB01248	D009369	DB00007
DB09035	D005185	DB12332
DB01234	D008206	DB00619
DB00480	D009369	DB00773
DB15302	D003108	DB09037
DB00688	D008659	DB00959
DB00177	D014570	DB00722
DB00563	D002471	DB02546
DB00073	D008228	DB06273
DB00928	D009370	DB12920
DB00531	D011471	DB11945
DB00741	D007160	DB00099
DB11581	D008206	DB11595
DB01590	D009371	DB00398
DB11652	D012871	DB01101
DB00642	D001982	DB00958
DB00515	D008171	DB15088
DB00087	D000740	DB01008
DB05239	D009369	DB09074
DB01008	D009190	DB00959
DB00531	D009373	DB01042
DB01221	D059787	DB00327
DB00773	D006474	DB01042
DB00959	D054198	DB01075
DB00741	D009370	DB08886
DB00316	D007154	DB00688
DB01211	D002318	DB08910
DB11689	D002283	DB11714
DB14867	D008224	DB00073
DB11793	D012871	DB00997
DB09078	D006528	DB00398
DB00559	D006976	DB00203
DB14568	D010335	DB06366
DB00811	D006505	DB11713
DB00994	D003424	DB00512
DB06186	D018358	DB01611
DB01075	D009369	DB00002
DB15036	D009369	DB09035
DB08889	D009101	DB14811
DB01042	D008659	DB00188
DB00441	D016403	DB16371
DB09073	D009369	DB00990
DB06772	D001745	DB00515
DB00480	D008223	DB08889
DB00758	D002561	DB00945
DB01073	D018262	DB01042
DB01234	D020141	DB00515
DB09037	D000230	DB12001
DB13874	D007951	DB11581
DB00059	D006258	DB09150
DB01281	D006402	DB01075
DB00316	D014570	DB00465
DB01234	D054219	DB00471
DB16322	D015477	DB11581
DB11708	D007592	DB00563
DB01073	D007410	DB00099
DB00316	D006402	DB00454
DB09054	D009369	DB01590
DB00987	D008206	DB09110
DB00515	D007414	DB00853
DB00059	D008206	DB09150
DB00997	D004194	DB00541
DB01229	D009373	DB09037
